Date,Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2010,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4,1.0,0.0,5.0,2.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2010,5,5.0,6.0,8.0,8.0,8.0,6.0,8.0,4.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,5.0
2010,6,4.0,5.0,5.0,4.0,5.0,3.0,7.0,4.0,6.0,7.0,6.0,3.0,1.0,1.0,1.0,4.0
2010,7,2.0,3.0,7.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0
2010,8,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
2010,9,1.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0
2010,10,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2010,11,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,1,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,2,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,3,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,7,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2011,8,10.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,4.0,5.0,8.0,9.0
2011,9,4.0,6.0,9.0,8.0,5.0,2.0,6.0,6.0,8.0,8.0,8.0,3.0,0.0,0.0,2.0,6.0
2011,10,3.0,5.0,11.0,10.0,9.0,1.0,7.0,4.0,13.0,8.0,6.0,2.0,0.0,0.0,1.0,5.0
2011,11,4.0,6.0,7.0,6.0,6.0,3.0,8.0,4.0,6.0,7.0,4.0,4.0,0.0,1.0,3.0,4.0
2011,12,1.0,1.0,5.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0
2012,1,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,3,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,4,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,5,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2012,6,3.0,2.0,10.0,2.0,1.0,0.0,5.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0
2012,7,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,9,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,10,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,11,0.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,12,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
